year,initial_Pmax_Wp,remaining_capacity_percent,aging_loss_percent,remaining_Pmax_Wp,annual_degradation_percent,plant_initial_capacity_MWp,plant_remaining_capacity_MWp,estimated_module_count,source,note
0,530.0,100.0,0.0,530.0,0.0,47.5,47.5,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
1,530.0,98.0,2.0,519.4,2.0,47.5,46.55,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
2,530.0,97.55,2.450000000000003,517.015,0.45,47.5,46.33625,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
3,530.0,97.1,2.9000000000000057,514.63,0.45,47.5,46.1225,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
4,530.0,96.65,3.3499999999999943,512.245,0.45,47.5,45.90875,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
5,530.0,96.2,3.799999999999997,509.86,0.45,47.5,45.695,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
6,530.0,95.75,4.25,507.475,0.45,47.5,45.48125,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
7,530.0,95.3,4.700000000000003,505.09,0.45,47.5,45.2675,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
8,530.0,94.85,5.150000000000006,502.705,0.45,47.5,45.05375,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
9,530.0,94.4,5.599999999999994,500.32,0.45,47.5,44.84,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
10,530.0,93.95,6.049999999999997,497.935,0.45,47.5,44.62625,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
11,530.0,93.5,6.5,495.55,0.45,47.5,44.4125,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
12,530.0,93.05,6.950000000000003,493.165,0.45,47.5,44.19875,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
13,530.0,92.6,7.400000000000006,490.78,0.45,47.5,43.985,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
